dong,school_count,subway_count,avg_price,school_score,subway_score,price_score
홍은제2동,12,0,0,54.55,0.0,0.0
남가좌제1동,12,0,0,54.55,0.0,0.0
남가좌제2동,10,0,0,45.45,0.0,0.0
북가좌제1동,11,2,0,50.0,15.38,0.0
북가좌제2동,12,1,0,54.55,7.69,0.0
아현동,20,5,129425,90.91,38.46,40.53
공덕동,18,4,118900,81.82,30.77,47.8
도화동,5,3,91500,22.73,23.08,66.7
용강동,7,4,110242,31.82,30.77,53.77
대흥동,17,4,122480,77.27,30.77,45.33
염리동,14,5,126912,63.64,38.46,42.27
신수동,5,2,137000,22.73,15.38,35.31
서강동,4,2,0,18.18,15.38,0.0
서교동,10,5,0,45.45,38.46,0.0
합정동,2,2,0,9.09,15.38,0.0
망원제1동,3,1,0,13.64,7.69,0.0
망원제2동,2,1,0,9.09,7.69,0.0
연남동,11,1,0,50.0,7.69,0.0
성산제1동,14,2,0,63.64,15.38,0.0
성산제2동,8,2,0,36.36,15.38,0.0
상암동,1,0,83166,4.55,0.0,72.46000000000001
목1동,8,3,0,36.36,23.08,0.0
목2동,8,0,0,36.36,0.0,0.0
목3동,14,0,0,63.64,0.0,0.0
목4동,10,0,0,45.45,0.0,0.0
목5동,10,0,0,45.45,0.0,0.0
신월1동,6,0,0,27.27,0.0,0.0
신월2동,7,4,0,31.82,30.77,0.0
신월3동,12,0,0,54.55,0.0,0.0
신월4동,9,0,0,40.91,0.0,0.0
신월5동,16,1,0,72.73,7.69,0.0
신월6동,14,0,0,63.64,0.0,0.0
신월7동,7,0,0,31.82,0.0,0.0
신정1동,11,4,0,50.0,30.77,0.0
신정2동,13,2,0,59.09,15.38,0.0
신정3동,14,0,0,63.64,0.0,0.0
신정4동,11,3,0,50.0,23.08,0.0
신정6동,10,1,0,45.45,7.69,0.0
신정7동,10,1,0,45.45,7.69,0.0
염창동,6,0,72725,27.27,0.0,79.66
등촌제1동,18,0,0,81.82,0.0,0.0
등촌제2동,13,0,0,59.09,0.0,0.0
